Predicton Function,Train Accuracy,Test Accuracy,Simple MIA Attack Acc,Simple MIA Attack Adv,Simple MIA Attack Prec,Simple MIA Attack Recall,Simple MIA Attack F1,Loss attack Acc,Loss attack Adv,Loss attack Prec,Loss attack Recall,Loss attack F1,Loss attack2 Acc,Loss attack2 Adv,Loss attack2 Prec,Loss attack2 Recall,Loss attack2 F1,Adversarial examples attack0 Benign Acc,Adversarial examples attack0 Adver Acc,Adversarial examples attack1 Benign Acc,Adversarial examples attack1 Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.002.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.002.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.005.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.005.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.01.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.01.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.025.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.025.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.05.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.05.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.075.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.075.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.002.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.002.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.005.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.005.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.01.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.01.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.025.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.025.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.05.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.05.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.075.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.075.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.002.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.002.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.005.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.005.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.01.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.01.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.025.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.025.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.05.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.05.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.075.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.075.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.002.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.002.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.005.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.005.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.01.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.01.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.025.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.025.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.05.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.05.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.075.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.075.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.002.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.002.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.005.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.005.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.01.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.01.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.025.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.025.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.05.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.05.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.075.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.075.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.002.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.002.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.005.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.005.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.01.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.01.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.025.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.025.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.05.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.05.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.075.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.075.npz Adver Acc
Basic,100,75.18,74.225,0.4845,0.692491060786651,0.8715,0.771751162275847,73.775,0.4755,0.65677546983185,0.996,0.791575601033181,76,0.52,0.690476190476191,0.9425,0.797040169133192,95,0,96,0,83.56,19.24,83.56,13.6,83.56,12.36,83.56,4.8,83.56,2.72,83.56,2.32,83.56,68.08,83.56,55.4,83.56,34.52,83.56,14.32,83.56,11,83.56,11,83.56,83.6,83.56,83.36,83.56,83.6,83.56,83.32,83.56,83.08,83.56,82.56,78.08,73.08,78.08,68.2,78.08,68.04,78.08,67.6,78.08,69.08,78.08,68.84,78.08,76.76,78.08,76.32,78.08,73.76,78.08,69.76,78.08,67.92,78.08,60.8,78.08,77.88,78.08,77.72,78.08,77.48,78.08,77.12,78.08,76.08,78.08,75.88
Randomized Gaussian 0.05 sigma,99.32,72.44,67.825,0.3565,0.674840608141246,0.688,0.681356771478089,64.475,0.2895,0.585322723253758,0.993,0.736510291118116,67.775,0.3555,0.610920436817473,0.979,0.752353506243996,90,10,97.5,60.5,81.36,27,81.2,18.64,81.28,16.2,81.52,7.04,81.36,3.52,81.56,2.92,81,67.64,81.64,57.68,81.04,40.84,82,15.68,81.28,11.24,81.28,11.28,80.8,81.52,81.56,81.72,81.32,80.56,80.88,80.4,81,78.96,81.08,78.76,74.88,69.84,74.36,64.36,74.12,64.52,74.64,62.6,74.36,64.68,73.68,64.96,74.56,73.48,73.96,72.32,74.28,70.76,74.64,67.08,74.08,64.68,73.6,55.92,73.96,74.16,73.84,74.2,74.76,74.04,75.16,73.12,74.48,71.4,73.72,71.52
Randomized Laplace 0.05 sigma,95.92,67.88,62.7,0.254,0.651732377538829,0.5455,0.593903102885139,62.725,0.2545,0.574874963224478,0.977,0.723837747731061,65.7,0.314,0.600255427841635,0.94,0.73265783320343,80,25,92.5,50.5,77.84,30,78.56,19.04,77.32,17,77.6,7.88,76.96,4.32,78.4,3.48,77.84,65.48,76.2,56.6,77.48,42.92,77.88,17.64,76.96,11.64,77.96,12.2,76.84,76.48,78.12,77.32,77.96,76.76,77.6,76.12,77.6,74.12,76.88,74.8,70.12,66.24,69.96,60.92,70,58.8,70.12,59.12,70.08,59.2,70,59.8,70,68.72,69.8,68.24,70.32,65.36,69.96,63.32,69.92,60.56,70,52.76,70.8,69.52,70.16,70.36,70.36,69.44,70.28,68.48,69.88,67.68,70.24,66.52
Label distortion 0.2 sigma,100,75.18,58.85,0.177,0.548546352166758,1,0.708466170740347,73.775,0.4755,0.65677546983185,0.996,0.791575601033181,76,0.52,0.690476190476191,0.9425,0.797040169133192,95,0,96,0,83.56,19.24,83.56,13.6,83.56,12.36,83.56,4.8,83.56,2.72,83.56,2.32,83.56,68.08,83.56,55.4,83.56,34.52,83.56,14.32,83.56,11,83.56,11,83.56,83.6,83.56,83.36,83.56,83.6,83.56,83.32,83.56,83.08,83.56,82.56,78.08,73.08,78.08,68.2,78.08,68.04,78.08,67.6,78.08,69.08,78.08,68.84,78.08,76.76,78.08,76.32,78.08,73.76,78.08,69.76,78.08,67.92,78.08,60.8,78.08,77.88,78.08,77.72,78.08,77.48,78.08,77.12,78.08,76.08,78.08,75.88
Poisson_Noise 0.01 sigma,98.28,71.58,66.025,0.3205,0.660651629072682,0.659,0.65982478097622,63.5,0.27,0.579599056603774,0.983,0.729228486646884,66.975,0.3395,0.606727444199937,0.965,0.745029917004439,90,10,96,49,79.68,25.16,80.48,17.72,80.08,16.08,80.2,6.6,80.88,3.6,80.32,3.12,80.8,67.2,80.72,56.96,80.48,40.4,80.64,16.08,81.6,11.68,80.68,11.76,80.52,80.96,80.84,80.48,80.92,80.52,80.48,79.88,80.52,78.84,80.76,77.88,73.6,68.88,73.32,64.4,72.84,63.08,72.72,63.8,73.88,63.52,73.2,64.12,72.84,71.6,73.28,72.4,73.56,69.88,73.16,64.92,74.16,63.64,73.44,55.8,74.04,73.16,72.56,73.64,73.16,71.8,73.04,71.36,72.72,71.92,74.2,70.72
Local Median Smoothing Filter 2x2,93.32,66.88,61.675,0.2335,0.653315824031517,0.4975,0.564859494748794,61.45,0.229,0.56791221826809,0.9575,0.712956068503351,64.325,0.2865,0.5921518173046,0.9205,0.720688980230965,85,50,92,83,75.52,46.2,75.52,24.08,75.52,21.24,75.52,15.56,75.52,14.4,75.52,14.84,75.52,67.84,75.52,61.68,75.52,56.24,75.52,31.88,75.52,18.56,75.52,19.36,75.52,75.68,75.52,75.96,75.52,75.36,75.52,75.8,75.52,75.56,75.52,75.84,70.36,66.92,70.36,63.48,70.36,63.44,70.36,62.92,70.36,63.96,70.36,63.72,70.36,69.4,70.36,69.16,70.36,67.2,70.36,64.96,70.36,64.12,70.36,57.04,70.36,70.4,70.36,70.16,70.36,70.16,70.36,70,70.36,69.16,70.36,69.92
Non-local Mean denoising strength 10,95.14,68.56,64.125,0.2825,0.663200462160601,0.574,0.615384615384615,62.575,0.2515,0.574606941560368,0.9685,0.721280953267548,65.6,0.312,0.599110546378653,0.943,0.732711732711733,90,40,94.5,60,78.44,45.52,78.44,25.92,78.44,22.68,78.44,14.12,78.44,11.6,78.44,12.12,78.44,69.08,78.44,60.6,78.44,53.96,78.44,26.16,78.44,15.12,78.44,16.36,78.44,78.68,78.44,78.48,78.44,78.88,78.44,79.2,78.44,79.96,78.44,80.52,71.32,68.8,71.32,65.88,71.32,65.84,71.32,65.8,71.32,67.2,71.32,67.8,71.32,70.36,71.32,69.6,71.32,68.92,71.32,66.88,71.32,67.12,71.32,62.16,71.32,71.44,71.32,71.88,71.32,71.48,71.32,72.16,71.32,72.6,71.32,73.24
Defense Autoencoder,99.98,76.26,72.825,0.4565,0.687474332648871,0.837,0.754904171364149,65.1,0.302,0.58898055391868,0.9995,0.741193919169448,69.6,0.392,0.622194513715711,0.998,0.766513056835638,95,60,97,81.5,84.32,52.28,84.32,30.2,84.32,28.24,84.32,26.4,84.32,29.68,84.32,31.8,84.32,74.96,84.32,70.12,84.32,62.28,84.32,38.92,84.32,24.04,84.32,25.88,84.32,84.28,84.32,84.24,84.32,83.92,84.32,83.76,84.32,83.2,84.32,83.96,76.92,74.24,76.92,71.88,76.92,71.72,76.92,71.96,76.92,72.4,76.92,72.44,76.92,76.56,76.92,76,76.92,75.36,76.92,70.92,76.92,72.04,76.92,66.4,76.92,77,76.92,76.8,76.92,76.84,76.92,76.92,76.92,76.68,76.92,76.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
