Predicton Function,Train Accuracy,Test Accuracy,Simple MIA Attack Acc,Simple MIA Attack Adv,Simple MIA Attack Prec,Simple MIA Attack Recall,Simple MIA Attack F1,Loss attack Acc,Loss attack Adv,Loss attack Prec,Loss attack Recall,Loss attack F1,Loss attack2 Acc,Loss attack2 Adv,Loss attack2 Prec,Loss attack2 Recall,Loss attack2 F1,Adversarial examples attack0 Benign Acc,Adversarial examples attack0 Adver Acc,Adversarial examples attack1 Benign Acc,Adversarial examples attack1 Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.002.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.002.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.005.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.005.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.01.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.01.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.025.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.025.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.05.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.05.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.075.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.075.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.002.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.002.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.005.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.005.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.01.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.01.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.025.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.025.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.05.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.05.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.075.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.075.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.002.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.002.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.005.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.005.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.01.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.01.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.025.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.025.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.05.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.05.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.075.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.075.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.002.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.002.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.005.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.005.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.01.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.01.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.025.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.025.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.05.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.05.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.075.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.075.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.002.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.002.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.005.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.005.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.01.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.01.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.025.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.025.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.05.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.05.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.075.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.075.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.002.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.002.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.005.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.005.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.01.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.01.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.025.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.025.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.05.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.05.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.075.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.075.npz Adver Acc
Basic,96.668,83.17,50.075,0.0015,0.507537688442211,0.0505,0.0918599363346976,57.325,0.1465,0.541279233586926,0.9605,0.692377004865742,59.45,0.189,0.56,0.882,0.68504854368932,85,90,98,94,87.6,81.4,87.6,71.6,87.6,67.12,87.6,65.16,87.6,66,87.6,65.84,87.6,85.4,87.6,83.16,87.6,82.4,87.6,75.16,87.6,61.92,87.6,62.28,87.6,87.28,87.6,86.92,87.6,86.52,87.6,85.52,87.6,83.24,87.6,82.08,94.28,0.52,94.28,0,94.28,0,94.28,0,94.28,0,94.28,0,94.28,70.6,94.28,48.48,94.28,18.84,94.28,2.52,94.28,0,94.28,0.88,94.28,94.08,94.28,94.2,94.28,94.04,94.28,93.16,94.28,90.36,94.28,89.88
Local Median Smoothing Filter 2x2,80.358,70.52,50.025,0.0005,0.507462686567164,0.017,0.0328979196903725,53.575,0.0715,0.521097668928888,0.883,0.655409166821303,53.8,0.076,0.524358974358974,0.818,0.6390625,80,75,76,74.5,73.52,67.32,73.52,59.68,73.52,56.32,73.52,53.8,73.52,55.6,73.52,54.76,73.52,71.36,73.52,68.84,73.52,67.36,73.52,61.24,73.52,51,73.52,51.08,73.52,73.12,73.52,73.28,73.52,73.24,73.52,72.6,73.52,73.28,73.52,71.56,78.2,40.52,78.2,16.36,78.2,19.56,78.2,24.64,78.2,28.44,78.2,28.56,78.2,68.6,78.2,64.88,78.2,52.56,78.2,28.84,78.2,24.84,78.2,10.48,78.2,78.12,78.2,78.08,78.2,78.04,78.2,78.32,78.2,78.08,78.2,77.08
Local Median Smoothing Filter 3x3,72.372,62.99,50.025,0.0005,0.513513513513514,0.0095,0.0186548846342661,54.225,0.0845,0.52621780949426,0.848,0.649435190503542,54.05,0.0810000000000001,0.527126590756865,0.787,0.631367829923787,75,75,73,69,66.68,62.2,66.68,56.76,66.68,53.88,66.68,51.64,66.68,51.84,66.68,51,66.68,64.64,66.68,62.92,66.68,61.88,66.68,56.6,66.68,46.76,66.68,46.88,66.68,66.16,66.68,65.96,66.68,65.84,66.68,65.04,66.68,63.16,66.68,62.8,70.12,46.8,70.12,29.48,70.12,29.16,70.12,33.32,70.12,36.44,70.12,37.36,70.12,63.64,70.12,62.44,70.12,52.76,70.12,35.76,70.12,35.4,70.12,17.96,70.12,69.88,70.12,69.72,70.12,69.48,70.12,68.92,70.12,68.36,70.12,65.8
Non-local Mean denoising strength 7,92.514,79.51,50.175,0.0035,0.519553072625698,0.0465,0.0853602569986232,55.5,0.11,0.531055900621118,0.9405,0.678816311800794,57.3,0.146,0.546231792273591,0.8625,0.66886390073672,80,80,90.5,86.5,83.52,79,83.52,72,83.52,69.16,83.52,68.68,83.52,70.32,83.52,70.12,83.52,82,83.52,79.56,83.52,79.84,83.52,74.4,83.52,65.96,83.52,66.08,83.52,83.72,83.52,84,83.52,83.96,83.52,84.52,83.52,83.6,83.52,83.32,90.12,14.48,90.12,2.72,90.12,3.04,90.12,3.92,90.12,5,90.12,4.6,90.12,74.32,90.12,63.08,90.12,43.84,90.12,10.12,90.12,4.52,90.12,3.08,90.12,90.12,90.12,90.04,90.12,90.04,90.12,90.84,90.12,90.32,90.12,90.44
Non-local Mean denoising strength 10,86.658,74.79,50.175,0.0035,0.522875816993464,0.04,0.0743149094287041,55.125,0.1025,0.529736002320859,0.913,0.670460804112355,56.075,0.1215,0.538583677357891,0.848,0.658768692950087,85,75,84.5,80,78.68,74.24,78.68,68.28,78.68,66.16,78.68,66.6,78.68,66.68,78.68,67.12,78.68,77.36,78.68,75.6,78.68,75.4,78.68,71.24,78.68,64.4,78.68,64.64,78.68,78.72,78.68,78.88,78.68,79.44,78.68,79.28,78.68,79.8,78.68,79.68,84.12,26.08,84.12,7.12,84.12,6.8,84.12,8.6,84.12,9.28,84.12,9.88,84.12,70.52,84.12,64.52,84.12,50.12,84.12,17.16,84.12,9.24,84.12,4.6,84.12,84.24,84.12,84.44,84.12,84.48,84.12,85.52,84.12,85.88,84.12,87.28
Defense Autoencoder,94.338,80.95,50.125,0.0025,0.514619883040936,0.044,0.0810686319668356,55.975,0.1195,0.53355798932884,0.95,0.683330336270455,58.1,0.162,0.551039697542533,0.8745,0.676072671047545,85,90,95,85,84.72,81.04,84.72,76.12,84.72,74.84,84.72,73.92,84.72,75.84,84.72,76.08,84.72,83.56,84.72,83,84.72,81.52,84.72,76.64,84.72,70.96,84.72,71.12,84.72,84.8,84.72,84.72,84.72,84.64,84.72,84.12,84.72,83.84,84.72,83.4,91.32,30.48,91.32,8.36,91.32,13.24,91.32,21.76,91.32,27.12,91.32,28.68,91.32,78.72,91.32,72.08,91.32,55.12,91.32,24.28,91.32,27.44,91.32,10.56,91.32,91.36,91.32,91.08,91.32,91.16,91.32,91.16,91.32,90.56,91.32,90.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best prediction function 1: mean denoise 7,89.372,77.19,54.675,0.0935,0.542713567839196,0.594,0.567199809023633,54.825,0.0965,0.527721918988796,0.9185,0.670315635832877,56.15,0.123,0.538948701709943,0.851,0.659945715393563,75,90,87.5,83,80.96,78.2,80.96,73.76,80.96,72.96,80.96,72.16,80.96,72.84,80.96,72.68,80.96,79.84,80.96,79.32,80.96,78.48,80.96,74.76,80.96,70.48,80.96,70.68,80.96,81.12,80.96,80.64,80.96,81.32,80.96,80.92,80.96,80.36,80.96,79.72,87.04,53.32,87.04,27.92,87.04,35.68,87.04,42.84,87.04,46.68,87.04,49.68,87.04,77.56,87.04,73.52,87.04,65.56,87.04,41.4,87.04,45.48,87.04,20.52,87.04,87.16,87.04,87.32,87.04,87.04,87.04,86.52,87.04,85.8,87.04,85.52
Best prediction function: median smoothing 2x2,76.826,67.88,51.8,0.036,0.521077283372365,0.445,0.480043149946063,53.525,0.0705,0.521215768883539,0.866,0.650760849145219,54.025,0.0805,0.526384791871518,0.803,0.635913680459315,85,75,76,69.5,70.16,66.76,70.16,63.36,70.16,62,70.16,61.92,70.16,61.44,70.16,61.8,70.16,68.8,70.16,68.16,70.16,66.8,70.16,63.24,70.16,58.48,70.16,58.84,70.16,70.08,70.16,69.76,70.16,69.68,70.16,69.68,70.16,68.6,70.16,68.88,75.28,56.8,75.28,43.84,75.28,46.72,75.28,51.64,75.28,54,75.28,54.8,75.28,70.76,75.28,67.24,75.28,62.2,75.28,46.8,75.28,54.64,75.28,30.32,75.28,75,75.28,75.08,75.28,74.52,75.28,74.32,75.28,74.2,75.28,73.92
