Predicton Function,Train Accuracy,Test Accuracy,Simple MIA Attack Acc,Simple MIA Attack Adv,Simple MIA Attack Prec,Simple MIA Attack Recall,Simple MIA Attack F1,Adversarial examples attack0 Benign Acc,Adversarial examples attack0 Adver Acc,Adversarial examples attack1 Benign Acc,Adversarial examples attack1 Adver Acc,Adversarial attack adv2_gradient_attack_alpha_0.001.npz Benign Acc,Adversarial attack adv2_gradient_attack_alpha_0.001.npz Adver Acc,Adversarial attack adv2_gradient_attack_alpha_0.005.npz Benign Acc,Adversarial attack adv2_gradient_attack_alpha_0.005.npz Adver Acc,Adversarial attack adv2_gradient_attack_alpha_0.01.npz Benign Acc,Adversarial attack adv2_gradient_attack_alpha_0.01.npz Adver Acc,Adversarial attack adv2_gradient_attack_alpha_0.025.npz Benign Acc,Adversarial attack adv2_gradient_attack_alpha_0.025.npz Adver Acc,Adversarial attack adv2_gradient_attack_alpha_0.05.npz Benign Acc,Adversarial attack adv2_gradient_attack_alpha_0.05.npz Adver Acc,Adversarial attack adv2_gradient_attack_alpha_0.075.npz Benign Acc,Adversarial attack adv2_gradient_attack_alpha_0.075.npz Adver Acc,Adversarial attack adv3_fgsm_alpha_0.001.npz Benign Acc,Adversarial attack adv3_fgsm_alpha_0.001.npz Adver Acc,Adversarial attack adv3_fgsm_alpha_0.005.npz Benign Acc,Adversarial attack adv3_fgsm_alpha_0.005.npz Adver Acc,Adversarial attack adv3_fgsm_alpha_0.01.npz Benign Acc,Adversarial attack adv3_fgsm_alpha_0.01.npz Adver Acc,Adversarial attack adv3_fgsm_alpha_0.025.npz Benign Acc,Adversarial attack adv3_fgsm_alpha_0.025.npz Adver Acc,Adversarial attack adv3_fgsm_alpha_0.05.npz Benign Acc,Adversarial attack adv3_fgsm_alpha_0.05.npz Adver Acc,Adversarial attack adv3_fgsm_alpha_0.075.npz Benign Acc,Adversarial attack adv3_fgsm_alpha_0.075.npz Adver Acc
Basic,100.0,75.18,74.25,0.48500000000000004,0.6927662957074722,0.8715,0.7719220549158547,95.0,0.0,96.0,0.0,81.2,13.5,82.6,12.2,84.89999999999999,9.0,82.89999999999999,3.5000000000000004,82.39999999999999,0.2,85.0,1.7000000000000002,83.7,64.1,83.7,56.39999999999999,84.3,29.4,83.0,3.8,84.2,2.5,82.8,10.9
Randomized Gaussian 0.05 sigma,99.32,72.44,67.425,0.3485,0.6710849288168875,0.6835,0.677235570968541,85.0,5.0,97.0,56.00000000000001,78.8,17.299999999999997,79.7,20.200000000000003,83.2,12.6,81.5,3.8,81.2,0.8999999999999999,82.69999999999999,1.7999999999999998,81.3,66.5,79.9,60.5,82.89999999999999,35.3,81.6,3.8,82.5,2.5,81.3,11.5
Randomized Laplace 0.05 sigma,95.92,67.88,62.324999999999996,0.2465,0.6449147560258671,0.5485,0.5928127533099162,90.0,20.0,94.0,52.0,73.7,16.8,77.2,19.400000000000002,78.0,12.4,76.2,4.1000000000000005,77.4,1.7000000000000002,77.0,2.0,77.7,64.4,76.9,57.99999999999999,79.2,36.5,78.0,4.1000000000000005,78.3,2.5,76.2,11.0
Randomized Gaussian 0.25 sigma,22.56,20.44,48.65,-0.026999999999999996,0.4709051724137931,0.2185,0.29849726775956287,15.0,15.0,19.0,16.0,22.7,16.1,22.5,13.100000000000001,21.7,6.7,21.6,5.1,22.1,4.1000000000000005,22.7,1.7000000000000002,22.8,22.1,22.900000000000002,21.0,23.400000000000002,19.0,22.3,16.0,22.5,10.9,20.200000000000003,12.5
Randomized Laplace 0.25 sigma,17.02,15.78,49.675000000000004,-0.006500000000000006,0.4937679769894535,0.2575,0.33848176141965164,5.0,10.0,15.5,15.0,17.599999999999998,13.600000000000001,16.900000000000002,12.8,17.299999999999997,8.4,16.6,5.8999999999999995,16.1,3.5000000000000004,16.0,1.3,17.1,17.1,16.6,17.5,17.7,17.0,16.900000000000002,14.7,17.8,12.6,14.899999999999999,11.3
Randomized Gaussian 0.5 sigma,11.72,12.16,48.5,-0.02999999999999997,0.47413793103448276,0.275,0.34810126582278483,5.0,5.0,11.5,10.0,12.5,12.2,12.3,12.3,12.9,10.0,13.0,9.700000000000001,12.7,7.8,11.1,3.8,12.5,12.0,13.100000000000001,13.4,12.4,12.3,12.7,12.3,13.0,12.4,10.4,10.299999999999999
Randomized Laplace 0.5 sigma,11.34,11.68,48.35,-0.03300000000000003,0.4723618090452261,0.282,0.35316217908578584,5.0,5.0,10.5,12.5,12.2,11.600000000000001,12.1,12.1,11.700000000000001,10.8,12.2,9.3,11.700000000000001,8.6,11.1,6.6000000000000005,11.799999999999999,12.0,12.9,11.799999999999999,12.6,11.5,11.799999999999999,12.2,12.2,11.799999999999999,10.9,10.4
Randomized Gaussian 1.0 sigma,10.100000000000001,10.94,49.25,-0.015000000000000013,0.48322147651006714,0.216,0.2985487214927436,5.0,5.0,12.0,11.5,11.3,11.3,10.8,11.0,10.7,10.5,10.7,9.700000000000001,11.0,10.100000000000001,10.2,9.3,10.7,10.4,11.0,11.700000000000001,11.4,11.600000000000001,11.4,11.4,12.1,11.700000000000001,9.1,9.2
Randomized Laplace 1.0 sigma,10.4,11.020000000000001,50.125,0.0025000000000000022,0.5026852846401718,0.234,0.3193449334698055,5.0,5.0,11.0,12.0,11.200000000000001,10.9,10.5,10.2,10.9,10.7,11.0,9.700000000000001,10.6,9.700000000000001,9.9,9.0,10.6,10.100000000000001,11.4,12.0,11.3,11.1,11.4,11.899999999999999,12.3,11.899999999999999,9.3,9.5
Local Median Smoothing Filter,93.32000000000001,66.86,61.675000000000004,0.23349999999999999,0.6533158240315168,0.4975,0.5648594947487936,85.0,50.0,92.0,83.0,72.8,24.2,74.8,21.7,76.2,14.2,76.6,9.0,76.4,4.5,77.0,4.2,74.7,64.0,78.2,62.4,75.7,48.8,75.5,11.0,76.7,3.9,77.2,14.2
